time,average_coverage
0.000000,0.0
0.033333,5723.97
0.066667,6891.849999999999
0.100000,8126.66
0.133333,9077.26
0.166667,9912.43
0.200000,11014.35
0.233333,11559.49
0.266667,12405.33
0.300000,13022.25
0.333333,13344.289999999999
0.366667,13568.359999999999
0.400000,14196.92
0.433333,14581.039999999999
0.466667,15017.539999999999
0.500000,15486.05
0.533333,15771.23
0.566667,16001.119999999999
0.600000,16341.59
0.633333,16580.21
0.666667,16877.03
0.700000,17134.079999999998
0.733333,17263.09
0.766667,17926.57
0.800000,18084.68
0.833333,18404.78
0.866667,19071.17
0.900000,19231.22
0.933333,19405.82
0.966667,19477.6
1.000000,19873.36
1.033333,20052.809999999998
1.066667,20279.79
1.100000,20499.01
1.133333,20752.18
1.166667,20844.329999999998
1.200000,21077.13
1.233333,21192.559999999998
1.266667,21256.579999999998
1.300000,21499.079999999998
1.333333,21568.92
1.366667,21625.18
1.400000,21675.62
1.433333,21709.57
1.466667,21874.47
1.500000,21950.13
1.533333,22125.7
1.566667,22308.059999999998
1.600000,22345.89
1.633333,22378.87
1.666667,22645.62
1.700000,22792.09
1.733333,22818.28
1.766667,22845.44
1.800000,22887.149999999998
1.833333,22997.73
1.866667,23086.0
1.900000,23256.72
1.933333,23312.01
1.966667,23332.38
2.000000,23370.21
2.033333,23395.43
2.066667,23562.27
2.100000,23639.87
2.133333,23658.3
2.166667,23945.42
2.200000,23947.36
2.233333,23977.43
2.266667,24047.27
2.300000,24055.03
2.333333,24095.77
2.366667,24119.05
2.400000,24147.18
2.433333,24163.67
2.466667,24170.46
2.500000,24196.649999999998
2.533333,24269.399999999998
2.566667,24363.489999999998
2.600000,24394.53
2.633333,24429.45
2.666667,24432.36
2.700000,24489.59
2.733333,24514.809999999998
2.766667,24580.77
2.800000,24597.26
2.833333,24638.0
2.866667,24675.829999999998
2.900000,24741.79
2.933333,24811.63
2.966667,24855.28
3.000000,24863.04
3.033333,24874.68
3.066667,24899.899999999998
3.100000,24902.809999999998
3.133333,24916.39
3.166667,24993.02
3.200000,24999.809999999998
3.233333,25007.57
3.266667,25026.969999999998
3.300000,25035.7
3.333333,25036.67
3.366667,25048.309999999998
3.400000,25058.01
3.433333,25060.92
3.466667,25079.35
3.500000,25108.45
3.533333,25143.37
3.566667,25151.13
3.600000,25198.66
3.633333,25237.46
3.666667,25247.16
3.700000,25269.469999999998
3.733333,25331.55
3.766667,25353.86
3.800000,25385.87
3.833333,25469.29
3.866667,25475.11
3.900000,25499.36
3.933333,25506.149999999998
3.966667,25509.059999999998
4.000000,25528.46
4.033333,25565.32
4.066667,25588.6
4.100000,25749.62
4.133333,25749.62
4.166667,25750.59
4.200000,26001.82
4.233333,26056.14
4.266667,26076.51
4.300000,26078.45
4.333333,26087.18
4.366667,26090.09
4.400000,26105.61
4.433333,26114.34
4.466667,26127.92
4.500000,26133.739999999998
4.533333,26136.649999999998
4.566667,26176.42
4.600000,26198.73
4.633333,26216.19
4.666667,26262.75
4.700000,26264.69
4.733333,26271.48
4.766667,26282.149999999998
4.800000,26287.0
4.833333,26301.55
4.866667,26400.489999999998
4.900000,26427.649999999998
4.933333,26461.6
