time,average_coverage
0.000000,0.0
0.033333,5501.88
0.066667,7476.6
0.100000,8302.8
0.133333,8907.66
0.166667,9410.52
0.200000,10184.7
0.233333,10880.34
0.266667,11476.02
0.300000,12459.300000000001
0.333333,12807.12
0.366667,13379.34
0.400000,14104.56
0.433333,14569.68
0.466667,15211.26
0.500000,16096.62
0.533333,16690.260000000002
0.566667,16866.72
0.600000,17229.84
0.633333,17516.46
0.666667,17718.420000000002
0.700000,17857.14
0.733333,18055.02
0.766667,18177.420000000002
0.800000,18492.6
0.833333,18674.16
0.866667,18754.74
0.900000,18886.32
0.933333,18987.3
0.966667,19310.64
1.000000,19331.04
1.033333,19363.68
1.066667,19462.62
1.100000,19476.9
1.133333,19568.7
1.166667,19626.84
1.200000,19646.22
1.233333,19711.5
1.266667,19738.02
1.300000,19840.02
1.333333,19885.920000000002
1.366667,19926.72
1.400000,19987.920000000002
1.433333,20013.420000000002
1.466667,20094.0
1.500000,20111.34
1.533333,20132.760000000002
1.566667,20159.28
1.600000,20286.78
1.633333,20416.32
1.666667,20766.18
1.700000,21016.08
1.733333,21084.420000000002
1.766667,21130.32
1.800000,21138.48
1.833333,21218.04
1.866667,21325.14
1.900000,21371.04
1.933333,21406.74
1.966667,21425.100000000002
2.000000,21461.82
2.033333,21543.420000000002
2.066667,21711.72
2.100000,21732.12
2.133333,21732.12
2.166667,21758.64
2.200000,21759.66
2.233333,21774.96
2.266667,21801.48
2.300000,21813.72
2.333333,21814.74
2.366667,21817.8
2.400000,21852.48
2.433333,21935.100000000002
2.466667,21983.04
2.500000,21992.22
2.533333,21992.22
2.566667,22044.24
2.600000,22055.46
2.633333,22064.64
2.666667,22089.12
2.700000,22107.48
2.733333,22112.58
2.766667,22193.16
2.800000,22198.260000000002
2.833333,22210.5
2.866667,22210.5
2.900000,22210.5
2.933333,22210.5
2.966667,22565.46
3.000000,22632.78
3.033333,22652.16
3.066667,22685.82
3.100000,22919.4
3.133333,22948.98
3.166667,22968.36
3.200000,23033.64
3.233333,23063.22
3.266667,23104.02
3.300000,23105.04
3.333333,23270.28
3.366667,23340.66
3.400000,23353.920000000002
3.433333,23387.58
3.466667,23388.600000000002
3.500000,23404.920000000002
3.533333,23437.56
3.566667,23446.74
3.600000,23450.82
3.633333,23462.04
3.666667,23474.28
3.700000,23488.56
3.733333,23514.06
3.766667,23562.0
3.800000,23586.48
3.833333,23665.02
3.866667,23709.9
3.900000,23711.94
3.933333,23818.02
3.966667,23836.38
4.000000,23881.260000000002
4.033333,23893.5
4.066667,23895.54
4.100000,23989.38
4.133333,24007.74
4.166667,24030.18
4.200000,24032.22
4.233333,24037.32
4.266667,24041.4
4.300000,24046.5
4.333333,24046.5
4.366667,24048.54
4.400000,24050.58
4.433333,24080.16
4.466667,24083.22
4.500000,24087.3
4.533333,24090.36
4.566667,24091.38
4.600000,24099.54
4.633333,24103.62
4.666667,24105.66
4.700000,24105.66
4.733333,24105.66
4.766667,24130.14
4.800000,24138.3
4.833333,24174.0
4.866667,24196.44
4.900000,24201.54
4.933333,24205.62
4.966667,24239.28
5.000000,24492.24
5.033333,24536.100000000002
5.066667,24543.24
5.100000,24560.58
5.133333,24574.86
5.166667,24585.06
5.200000,24589.14
5.233333,24589.14
5.266667,24590.16
5.300000,24592.2
5.333333,24606.48
5.366667,24606.48
5.400000,24611.58
5.433333,24613.62
5.466667,24620.760000000002
5.500000,24685.02
5.533333,24710.52
5.566667,24712.56
5.600000,24721.74
5.633333,24737.04
5.666667,24879.84
5.700000,24944.100000000002
5.733333,24946.14
5.766667,24946.14
5.800000,24962.46
5.833333,24970.62
5.866667,24987.96
5.900000,24987.96
5.933333,24987.96
5.966667,24987.96
6.000000,25003.260000000002
6.033333,25013.46
6.066667,25013.46
6.100000,25013.46
6.133333,25026.72
6.166667,25026.72
6.200000,25026.72
6.233333,25027.74
6.266667,25177.68
6.300000,25179.72
6.333333,25179.72
6.366667,25192.98
6.400000,25202.16
6.433333,25202.16
6.466667,25204.2
6.500000,25217.46
6.533333,25222.56
6.566667,25222.56
6.600000,25222.56
6.633333,25362.3
6.666667,25362.3
6.700000,25376.58
6.733333,25390.86
6.766667,25401.06
6.800000,25407.18
6.833333,25421.46
6.866667,25421.46
6.900000,25421.46
6.933333,25421.46
6.966667,25431.66
7.000000,25431.66
7.033333,25431.66
7.066667,25438.8
7.100000,25459.2
7.133333,25459.2
7.166667,25459.2
7.200000,25459.2
7.233333,25459.2
7.266667,25463.28
7.300000,25489.8
7.333333,25493.88
7.366667,25493.88
7.400000,25493.88
7.433333,25497.96
7.466667,25575.48
7.500000,25575.48
7.533333,25612.2
7.566667,25644.84
7.600000,25666.260000000002
7.633333,25666.260000000002
7.666667,25666.260000000002
7.700000,25669.32
7.733333,25671.36
7.766667,25677.48
7.800000,25683.600000000002
7.833333,25688.7
7.866667,25688.7
7.900000,25728.48
7.933333,25728.48
7.966667,25730.52
8.000000,25730.52
8.033333,25757.04
8.066667,25765.2
8.100000,25965.12
8.133333,25978.38
8.166667,25978.38
8.200000,25978.38
8.233333,25978.38
8.266667,25989.600000000002
8.300000,25990.62
8.333333,25992.66
8.366667,25992.66
8.400000,26004.9
8.433333,26005.920000000002
8.466667,26005.920000000002
8.500000,26037.54
8.533333,26045.7
8.566667,26046.72
8.600000,26049.78
8.633333,26053.86
8.666667,26054.88
8.700000,26056.920000000002
8.733333,26076.3
8.766667,26093.64
8.800000,26095.68
8.833333,26115.06
8.866667,26117.100000000002
8.900000,26150.760000000002
8.933333,26155.86
8.966667,26156.88
9.000000,26156.88
9.033333,26182.38
9.066667,26196.66
9.100000,26196.66
9.133333,26210.94
9.166667,26237.0
9.200000,26257.0
9.233333,26287.0
9.266667,26311.0
9.300000,26337.0
9.333333,26355.0
9.366667,26386.0
9.400000,26399.0
9.433333,26420.0
9.466667,26440.0
9.500000,26460.0
9.533333,26475.0
9.566667,26492.0
9.600000,26512.0
9.633333,26532.0
9.666667,26552.0
9.700000,26572.0
9.733333,26593.0
9.766667,26613.0
9.800000,26624.0
9.833333,26657.0
9.866667,26688.0
9.900000,26695.0
9.933333,26723.0
9.966667,26746.0
10.000000,26769.0
10.033333,26795.0
10.066667,26811.0
10.100000,26841.0
10.133333,26861.0
10.166667,26881.0
10.200000,26899.0
10.233333,26920.0
10.266667,26950.0
10.300000,26970.0
10.333333,26990.0
10.366667,27020.0
10.400000,27040.0
10.433333,27053.0
10.466667,27075.0
10.500000,27097.0
10.533333,27117.0
10.566667,27130.0
10.600000,27148.0
10.633333,27162.0
10.666667,27187.0
10.700000,27197.0
10.733333,27227.0
10.766667,27248.0
10.800000,27268.0
10.833333,27288.0
10.866667,27299.0
10.900000,27313.0
10.933333,27341.0
10.966667,27371.0
11.000000,27391.0
11.033333,27409.0
11.066667,27428.0
11.100000,27432.0
11.133333,27446.0
11.166667,27451.0
11.200000,27471.0
11.233333,27488.0
11.266667,27495.0
11.300000,27499.0
11.333333,27503.0
11.366667,27513.0
11.400000,27534.0
11.433333,27534.0
11.466667,27534.0
11.500000,27543.0
11.533333,27543.0
11.566667,27543.0
11.600000,27543.0
11.633333,27546.0
11.666667,27586.0
11.700000,27589.0
11.733333,27591.0
11.766667,27605.0
11.800000,27605.0
11.833333,27606.0
11.866667,27606.0
11.900000,27606.0
11.933333,27606.0
11.966667,27606.0
12.000000,27611.0
12.033333,27612.0
12.066667,27612.0
12.100000,27612.0
12.133333,27612.0
12.166667,27612.0
12.200000,27612.0
12.233333,27637.0
12.266667,27643.0
12.300000,27655.0
12.333333,27668.0
12.366667,27673.0
12.400000,27674.0
12.433333,27674.0
12.466667,27674.0
12.500000,27678.0
12.533333,27678.0
12.566667,27678.0
12.600000,27680.0
12.633333,27680.0
12.666667,27683.0
12.700000,27683.0
