time,average_coverage
0.000000,0
0.033333,6277
0.066667,8025
0.100000,9679
0.133333,11169
0.166667,11912
0.200000,12441
0.233333,12685
0.266667,13105
0.300000,13443
0.333333,14018
0.366667,14662
0.400000,14890
0.433333,15497
0.466667,15782
0.500000,16094
0.533333,16282
0.566667,16610
0.600000,16833
0.633333,16914
0.666667,17022
0.700000,17146
0.733333,17211
0.766667,17301
0.800000,17414
0.833333,17531
0.866667,17701
0.900000,17842
0.933333,17927
0.966667,18008
1.000000,18064
1.033333,18248
1.066667,18306
1.100000,18383
1.133333,18856
1.166667,19009
1.200000,19053
1.233333,19162
1.266667,19427
1.300000,19474
1.333333,19616
1.366667,19666
1.400000,19720
1.433333,19796
1.466667,19932
1.500000,19994
1.533333,20156
1.566667,20246
1.600000,20267
1.633333,20362
1.666667,20418
1.700000,20487
1.733333,20507
1.766667,20522
1.800000,20526
1.833333,20542
1.866667,20564
1.900000,20588
1.933333,20652
1.966667,20735
2.000000,20747
2.033333,20806
2.066667,20852
2.100000,20900
2.133333,20973
2.166667,20991
2.200000,20991
2.233333,21013
2.266667,21020
2.300000,21029
2.333333,21071
2.366667,21085
2.400000,21209
2.433333,21265
2.466667,21272
2.500000,21283
2.533333,21283
2.566667,21691
2.600000,21691
2.633333,21881
2.666667,21884
2.700000,21908
2.733333,21910
2.766667,21918
2.800000,21921
2.833333,21922
2.866667,21942
2.900000,21946
2.933333,21953
2.966667,22013
3.000000,22108
3.033333,22178
3.066667,22179
3.100000,22185
3.133333,22215
3.166667,22244
3.200000,22275
3.233333,22350
3.266667,22351
3.300000,22396
3.333333,22396
3.366667,22396
3.400000,22407
3.433333,22463
3.466667,22633
3.500000,22633
3.533333,22633
3.566667,22650
3.600000,22650
3.633333,22650
3.666667,22650
3.700000,22652
3.733333,22679
3.766667,22680
3.800000,22684
3.833333,22701
3.866667,22701
3.900000,22705
3.933333,22711
3.966667,22715
4.000000,22715
4.033333,22717
4.066667,22725
4.100000,22752
4.133333,22752
4.166667,22762
4.200000,22763
4.233333,22773
4.266667,22773
4.300000,22773
4.333333,22777
4.366667,22777
4.400000,22781
4.433333,22783
4.466667,22783
4.500000,22789
4.533333,22789
4.566667,22789
4.600000,22801
4.633333,22801
4.666667,22801
4.700000,22803
4.733333,22806
4.766667,22806
4.800000,22806
4.833333,22806
4.866667,22806
4.900000,22809
4.933333,22831
4.966667,22845
5.000000,22845
5.033333,22845
5.066667,22856
5.100000,22857
5.133333,22857
5.166667,22866
5.200000,22866
5.233333,22866
5.266667,22873
5.300000,22884
5.333333,22886
5.366667,22886
5.400000,22890
5.433333,22890
5.466667,22890
5.500000,22890
5.533333,22890
5.566667,22890
5.600000,22895
5.633333,22930
5.666667,22941
5.700000,22941
5.733333,22944
5.766667,22952
5.800000,22963
5.833333,22984
5.866667,23007
5.900000,23007
5.933333,23007
5.966667,23008
6.000000,23019
6.033333,23025
6.066667,23026
6.100000,23035
6.133333,23038
6.166667,23040
6.200000,23042
6.233333,23043
6.266667,23043
6.300000,23050
6.333333,23057
6.366667,23075
6.400000,23076
6.433333,23076
6.466667,23076
6.500000,23076
6.533333,23076
6.566667,23081
6.600000,23085
6.633333,23085
6.666667,23085
6.700000,23085
6.733333,23087
6.766667,23089
6.800000,23089
6.833333,23089
6.866667,23089
6.900000,23089
6.933333,23089
6.966667,23090
7.000000,23090
7.033333,23090
7.066667,23092
7.100000,23092
7.133333,23094
7.166667,23094
7.200000,23094
7.233333,23094
7.266667,23094
7.300000,23095
7.333333,23095
7.366667,23095
7.400000,23095
7.433333,23102
7.466667,23118
7.500000,23130
7.533333,23131
7.566667,23151
7.600000,23151
7.633333,23153
7.666667,23153
7.700000,23153
7.733333,23157
7.766667,23157
7.800000,23157
7.833333,23160
7.866667,23161
7.900000,23165
7.933333,23178
7.966667,23178
8.000000,23178
8.033333,23181
8.066667,23262
8.100000,23269
8.133333,23276
8.166667,23280
8.200000,23283
8.233333,23287
8.266667,23287
8.300000,23291
8.333333,23327
8.366667,23335
8.400000,23335
8.433333,23335
8.466667,23360
8.500000,23360
8.533333,23360
8.566667,23360
8.600000,23360
8.633333,23365
8.666667,23366
8.700000,23366
8.733333,23366
8.766667,23369
8.800000,23370
8.833333,23370
8.866667,23373
8.900000,23373
8.933333,23383
8.966667,23387
9.000000,23413
9.033333,23413
9.066667,23413
9.100000,23432
9.133333,23432
9.166667,23432
9.200000,23438
9.233333,23448
9.266667,23458
9.300000,23468
9.333333,23478
9.366667,23488
9.400000,23498
9.433333,23508
9.466667,23510
9.500000,23525
9.533333,23535
9.566667,23545
9.600000,23555
9.633333,23567
9.666667,23577
9.700000,23588
9.733333,23598
9.766667,23608
9.800000,23618
9.833333,23623
9.866667,23635
9.900000,23645
9.933333,23655
9.966667,23675
10.000000,23685
10.033333,23690
10.066667,23710
10.100000,23730
10.133333,23750
10.166667,23761
10.200000,23771
10.233333,23785
10.266667,23801
10.300000,23818
10.333333,23828
10.366667,23830
10.400000,23849
10.433333,23859
10.466667,23866
10.500000,23870
10.533333,23885
10.566667,23895
10.600000,23905
10.633333,23915
10.666667,23935
10.700000,23947
10.733333,23966
10.766667,23979
10.800000,23999
10.833333,24019
10.866667,24030
10.900000,24041
10.933333,24051
10.966667,24069
11.000000,24082
11.033333,24092
11.066667,24115
11.100000,24119
11.133333,24127
11.166667,24134
11.200000,24138
11.233333,24142
11.266667,24147
11.300000,24159
11.333333,24170
11.366667,24173
11.400000,24174
11.433333,24174
11.466667,24174
11.500000,24174
11.533333,24176
11.566667,24471
11.600000,24471
11.633333,24471
11.666667,24476
11.700000,24480
11.733333,24480
11.766667,24480
11.800000,24485
11.833333,24510
11.866667,24510
11.900000,24510
11.933333,24510
11.966667,24521
12.000000,24570
12.033333,24570
12.066667,24570
12.100000,24570
12.133333,24576
12.166667,24577
12.200000,24626
12.233333,24651
12.266667,24651
12.300000,24651
12.333333,24805
12.366667,24805
12.400000,24805
12.433333,24828
12.466667,24828
12.500000,24828
12.533333,24828
12.566667,24828
12.600000,24854
12.633333,24854
12.666667,24854
12.700000,24856
12.733333,24970
12.766667,24974
12.800000,25011
12.833333,25016
12.866667,25016
12.900000,25016
12.933333,25020
12.966667,25020
13.000000,25020
13.033333,25058
13.066667,25058
13.100000,25090
13.133333,25090
13.166667,25090
13.200000,25090
13.233333,25090
13.266667,25090
13.300000,25099
13.333333,25104
13.366667,25104
13.400000,25171
13.433333,25183
13.466667,25183
13.500000,25183
13.533333,25185
13.566667,25185
13.600000,25193
13.633333,25193
13.666667,25193
13.700000,25193
13.733333,25198
13.766667,25200
13.800000,25200
13.833333,25235
13.866667,25250
13.900000,25250
13.933333,25251
13.966667,25256
14.000000,25256
14.033333,25256
14.066667,25265
14.100000,25301
14.133333,25301
14.166667,25301
14.200000,25301
14.233333,25301
14.266667,25301
14.300000,25301
14.333333,25301
14.366667,25301
14.400000,25303
14.433333,25365
14.466667,25375
14.500000,25375
14.533333,25455
14.566667,25455
14.600000,25455
14.633333,25459
14.666667,25460
14.700000,25460
14.733333,25460
14.766667,25463
14.800000,25467
14.833333,25467
14.866667,25467
14.900000,25526
14.933333,25534
14.966667,25534
15.000000,25534
15.033333,25534
15.066667,25534
15.100000,25534
15.133333,25534
15.166667,25534
15.200000,25534
15.233333,25534
15.266667,25534
15.300000,25565
15.333333,25574
15.366667,25578
15.400000,25589
15.433333,25589
15.466667,25589
15.500000,25589
15.533333,25589
15.566667,25590
15.600000,25606
15.633333,25606
15.666667,25606
15.700000,25606
15.733333,25672
15.766667,25672
15.800000,25672
15.833333,25672
15.866667,25672
15.900000,25681
15.933333,25681
15.966667,25681
16.000000,25681
16.033333,25681
16.066667,25681
16.100000,25681
16.133333,25681
16.166667,25716
16.200000,25717
16.233333,25720
16.266667,25720
16.300000,25720
16.333333,25720
16.366667,25720
16.400000,25720
16.433333,25720
16.466667,25721
16.500000,25730
16.533333,25730
16.566667,25732
16.600000,25787
16.633333,25787
16.666667,25787
16.700000,25787
16.733333,25794
16.766667,25794
16.800000,25846
16.833333,25907
16.866667,25916
16.900000,25916
16.933333,25916
16.966667,25916
17.000000,25921
17.033333,25921
17.066667,25921
17.100000,25921
17.133333,25921
17.166667,25926
17.200000,25926
17.233333,25926
17.266667,25928
17.300000,26126
17.333333,26294
17.366667,26391
17.400000,26489
17.433333,26501
17.466667,26501
17.500000,26501
17.533333,26501
17.566667,26501
17.600000,26501
17.633333,26501
17.666667,26511
17.700000,26514
17.733333,26515
17.766667,26515
17.800000,26515
17.833333,26515
17.866667,26515
17.900000,26515
17.933333,26515
17.966667,26518
18.000000,26518
18.033333,26518
18.066667,26533
18.100000,26533
18.133333,26533
18.166667,26533
18.200000,26538
18.233333,26559
18.266667,26559
18.300000,26559
18.333333,26559
18.366667,26595
18.400000,26595
18.433333,26595
18.466667,26595
18.500000,26595
18.533333,26595
18.566667,26595
18.600000,26598
18.633333,26639
18.666667,26639
18.700000,26639
18.733333,26698
18.766667,26698
18.800000,26698
18.833333,26698
18.866667,26727
18.900000,26727
18.933333,26729
18.966667,26729
19.000000,26729
19.033333,26741
19.066667,26741
19.100000,26741
19.133333,26741
19.166667,26747
19.200000,26769
19.233333,26771
19.266667,26771
19.300000,26771
19.333333,26771
19.366667,26771
19.400000,26771
19.433333,26773
19.466667,26773
19.500000,26775
19.533333,26775
19.566667,26875
19.600000,27037
19.633333,27038
19.666667,27055
19.700000,27055
19.733333,27061
19.766667,27074
19.800000,27074
19.833333,27074
19.866667,27081
19.900000,27167
19.933333,27167
19.966667,27167
20.000000,27167
20.033333,27167
20.066667,27167
20.100000,27167
20.133333,27169
20.166667,27169
20.200000,27169
20.233333,27173
20.266667,27173
20.300000,27173
20.333333,27173
20.366667,27195
20.400000,27197
20.433333,27197
20.466667,27230
20.500000,27231
20.533333,27242
20.566667,27242
20.600000,27242
20.633333,27242
20.666667,27242
20.700000,27270
20.733333,27283
20.766667,27283
20.800000,27286
20.833333,27286
20.866667,27286
20.900000,27289
20.933333,27289
20.966667,27289
21.000000,27289
21.033333,27289
21.066667,27293
21.100000,27380
21.133333,27383
21.166667,27383
21.200000,27383
21.233333,27400
21.266667,27400
21.300000,27400
21.333333,27466
21.366667,27467
21.400000,27470
21.433333,27470
21.466667,27480
21.500000,27486
21.533333,27486
21.566667,27492
21.600000,27492
21.633333,27493
21.666667,27493
21.700000,27493
21.733333,27500
21.766667,27500
21.800000,27504
21.833333,27504
21.866667,27504
21.900000,27504
21.933333,27516
21.966667,27550
22.000000,27550
22.033333,27550
22.066667,27552
22.100000,27570
22.133333,27570
22.166667,27570
22.200000,27600
22.233333,27602
22.266667,27604
22.300000,27604
22.333333,27604
22.366667,27604
22.400000,27604
22.433333,27604
22.466667,27604
22.500000,27640
22.533333,27640
22.566667,27647
22.600000,27647
22.633333,27647
22.666667,27647
22.700000,27647
22.733333,27647
22.766667,27647
22.800000,27647
22.833333,27647
22.866667,27647
22.900000,27647
22.933333,27648
22.966667,27648
23.000000,27674
23.033333,27692
23.066667,27692
23.100000,27692
23.133333,27699
23.166667,27699
23.200000,27704
23.233333,27704
23.266667,27704
23.300000,27704
23.333333,27704
23.366667,27704
23.400000,27704
23.433333,27704
23.466667,27704
23.500000,27704
23.533333,27704
23.566667,27704
23.600000,27705
23.633333,27710
23.666667,27722
23.700000,27735
23.733333,27735
23.766667,27735
23.800000,27735
23.833333,27735
23.866667,27735
23.900000,27735
23.933333,27738
23.966667,27747
24.000000,27871.1
