time,average_coverage
0.000000,2673.9300000000003
0.033333,6821.25
0.066667,9274.76
0.100000,10212.08
0.133333,10939.68
0.166667,11595.59
0.200000,12508.300000000001
0.233333,14103.67
0.266667,14738.18
0.300000,15567.43
0.333333,15984.730000000001
0.366667,16359.230000000001
0.400000,16693.07
0.433333,17335.07
0.466667,17693.52
0.500000,18035.920000000002
0.533333,18379.39
0.566667,18610.510000000002
0.600000,18884.43
0.633333,19114.48
0.666667,19714.75
0.700000,19930.89
0.733333,20043.24
0.766667,20176.99
0.800000,20258.31
0.833333,20755.86
0.866667,20831.83
0.900000,20943.11
0.933333,21047.97
0.966667,21123.940000000002
1.000000,21171.02
1.033333,21290.86
1.066667,21448.15
1.100000,21658.940000000002
1.133333,21732.77
1.166667,21874.010000000002
1.200000,21942.49
1.233333,22262.420000000002
1.266667,22280.61
1.300000,22421.850000000002
1.333333,22526.710000000003
1.366667,22573.79
1.400000,22687.210000000003
1.433333,22796.350000000002
1.466667,22964.34
1.500000,23017.84
1.533333,23077.760000000002
1.566667,23150.52
1.600000,23182.620000000003
1.633333,23197.600000000002
1.666667,23496.13
1.700000,23558.190000000002
1.733333,23595.640000000003
1.766667,23642.72
1.800000,23947.670000000002
1.833333,24152.04
1.866667,24429.170000000002
1.900000,24489.09
1.933333,24525.47
1.966667,24621.77
2.000000,24795.11
2.033333,24836.84
2.066667,24982.36
2.100000,25429.620000000003
2.133333,25706.75
2.166667,25768.81
2.200000,25899.350000000002
2.233333,26154.010000000002
2.266667,26253.52
2.300000,26320.93
2.333333,26429.0
2.366667,26592.710000000003
2.400000,26614.11
2.433333,26640.86
2.466667,26646.210000000003
2.500000,26733.95
2.533333,26758.56
2.566667,26762.84
2.600000,26771.4
2.633333,26797.08
2.666667,26876.260000000002
2.700000,26907.29
2.733333,27093.47
2.766667,27095.61
2.800000,27233.640000000003
2.833333,27258.25
2.866667,27277.510000000002
2.900000,27279.65
2.933333,27310.68
2.966667,27311.75
3.000000,27410.190000000002
3.033333,27432.66
3.066667,27458.34
3.100000,27470.11
3.133333,27669.13
3.166667,27673.41
3.200000,27716.210000000003
3.233333,27757.940000000002
3.266667,27779.34
3.300000,27811.440000000002
3.333333,27834.980000000003
3.366667,27852.100000000002
3.400000,27888.480000000003
3.433333,27928.070000000003
3.466667,27939.84
3.500000,27960.170000000002
3.533333,28008.320000000003
3.566667,28025.440000000002
3.600000,28047.91
3.633333,28050.050000000003
3.666667,28052.190000000002
3.700000,28126.02
3.733333,28131.370000000003
3.766667,28149.56
3.800000,28155.980000000003
3.833333,28164.54
3.866667,28166.68
3.900000,28198.780000000002
3.933333,28205.2
3.966667,28212.690000000002
4.000000,28234.09
4.033333,28246.93
4.066667,28292.940000000002
4.100000,28301.5
4.133333,28306.850000000002
4.166667,28317.550000000003
4.200000,28342.16
4.233333,28413.850000000002
4.266667,28429.9
4.300000,28435.25
4.333333,28436.320000000003
4.366667,28627.850000000002
4.400000,28633.2
4.433333,28715.59
4.466667,28720.940000000002
4.500000,28720.940000000002
4.533333,28723.08
4.566667,28739.13
4.600000,28753.04
4.633333,28757.320000000003
4.666667,28760.530000000002
4.700000,28775.510000000002
4.733333,28794.77
4.766667,28805.47
4.800000,28831.15
4.833333,28840.780000000002
4.866667,28841.850000000002
4.900000,28841.850000000002
4.933333,28841.850000000002
4.966667,28850.410000000003
5.000000,28873.95
5.033333,28902.84
5.066667,28917.820000000003
5.100000,28928.52
5.133333,28937.08
5.166667,28939.22
5.200000,28940.29
5.233333,28943.5
5.266667,28962.760000000002
5.300000,28962.760000000002
5.333333,28962.760000000002
5.366667,28965.97
5.400000,29001.280000000002
5.433333,29009.84
5.466667,29010.910000000003
5.500000,29019.47
5.533333,29047.29
5.566667,29056.920000000002
5.600000,29056.920000000002
5.633333,29061.2
5.666667,29061.2
5.700000,29063.34
5.733333,29067.620000000003
5.766667,29071.9
5.800000,29213.140000000003
5.833333,29214.210000000003
5.866667,29214.210000000003
5.900000,29248.45
5.933333,29316.93
5.966667,29321.210000000003
6.000000,29331.910000000003
6.033333,29343.68
6.066667,29388.620000000003
6.100000,29403.600000000002
6.133333,29405.74
6.166667,29418.58
6.200000,29427.140000000003
6.233333,29427.140000000003
6.266667,29495.620000000003
6.300000,29495.620000000003
6.333333,29517.02
6.366667,29535.210000000003
6.400000,29641.140000000003
6.433333,29646.49
6.466667,29650.77
6.500000,29661.47
6.533333,29667.890000000003
6.566667,29696.780000000002
6.600000,29847.65
6.633333,29847.65
6.666667,29878.68
6.700000,29919.34
6.733333,29987.820000000003
6.766667,29992.100000000002
6.800000,29992.100000000002
6.833333,30008.15
6.866667,30009.22
6.900000,30019.920000000002
6.933333,30022.06
6.966667,30022.06
7.000000,30037.04
7.033333,30049.88
7.066667,30049.88
7.100000,30061.65
7.133333,30065.93
7.166667,30065.93
7.200000,30065.93
7.233333,30069.140000000003
7.266667,30075.56
7.300000,30078.77
7.333333,30141.9
7.366667,30142.97
7.400000,30157.95
7.433333,30160.09
7.466667,30193.260000000002
7.500000,30198.61
7.533333,30222.15
7.566667,30223.22
7.600000,30244.620000000003
7.633333,30254.25
7.666667,30257.460000000003
7.700000,30257.460000000003
7.733333,30271.370000000003
7.766667,30272.440000000002
7.800000,30276.72
7.833333,30276.72
7.866667,30305.61
7.900000,30307.75
7.933333,30308.820000000003
7.966667,30328.08
8.000000,30328.08
8.033333,30330.22
8.066667,30331.29
8.100000,30339.850000000002
8.133333,30347.34
8.166667,30347.34
8.200000,30347.34
8.233333,30349.480000000003
8.266667,30349.480000000003
8.300000,30351.620000000003
8.333333,30354.83
8.366667,30466.11
8.400000,30475.74
8.433333,30480.02
8.466667,30482.160000000003
8.500000,30489.65
8.533333,30503.56
8.566667,30535.660000000003
8.600000,30585.95
8.633333,30585.95
8.666667,30585.95
8.700000,30592.370000000003
8.733333,30592.370000000003
8.766667,30593.440000000002
8.800000,30596.65
8.833333,30602.0
8.866667,30604.140000000003
8.900000,30604.140000000003
8.933333,30604.140000000003
8.966667,30604.140000000003
9.000000,30611.63
9.033333,30611.63
9.066667,30612.7
9.100000,30620.190000000002
9.133333,30720.77
9.166667,30753.940000000002
9.200000,30756.08
9.233333,30764.640000000003
9.266667,30774.27
9.300000,30774.27
9.333333,30845.960000000003
9.366667,30845.960000000003
9.400000,30857.730000000003
9.433333,30862.010000000002
9.466667,30862.010000000002
9.500000,30863.08
9.533333,30865.22
9.566667,30873.780000000002
9.600000,30918.72
9.633333,30918.72
9.666667,30918.72
9.700000,30919.79
9.733333,30997.9
9.766667,31036.420000000002
9.800000,31046.050000000003
9.833333,31046.050000000003
9.866667,31052.47
9.900000,31053.54
9.933333,31057.820000000003
9.966667,31057.820000000003
10.000000,31061.030000000002
10.033333,31063.170000000002
10.066667,31067.45
10.100000,31068.52
10.133333,31098.480000000003
10.166667,31099.550000000003
10.200000,31099.550000000003
10.233333,31102.760000000002
10.266667,31120.95
10.300000,31124.160000000003
10.333333,31127.370000000003
10.366667,31127.370000000003
10.400000,31130.58
10.433333,31137.0
10.466667,31140.210000000003
10.500000,31144.49
10.533333,31145.56
10.566667,31145.56
10.600000,31166.960000000003
10.633333,31168.030000000002
10.666667,31187.29
10.700000,31191.570000000003
10.733333,31191.570000000003
10.766667,31192.640000000003
10.800000,31192.640000000003
10.833333,31192.640000000003
10.866667,31192.640000000003
10.900000,31214.04
10.933333,31216.18
10.966667,31216.18
11.000000,31231.160000000003
11.033333,31231.160000000003
11.066667,31241.86
11.100000,31241.86
11.133333,31265.4
11.166667,31271.820000000003
11.200000,31271.820000000003
11.233333,31283.59
11.266667,31285.730000000003
11.300000,31285.730000000003
11.333333,31296.43
11.366667,31296.43
11.400000,31303.920000000002
11.433333,31303.920000000002
11.466667,31313.550000000003
11.500000,31332.81
11.533333,31341.370000000003
11.566667,31354.210000000003
11.600000,31361.7
11.633333,31361.7
11.666667,31361.7
11.700000,31363.84
11.733333,31369.190000000002
11.766667,31372.4
11.800000,31373.47
11.833333,31373.47
11.866667,31416.27
11.900000,31418.410000000003
11.933333,31418.410000000003
11.966667,31428.04
12.000000,31433.390000000003
12.033333,31433.390000000003
12.066667,31433.390000000003
12.100000,31450.510000000002
12.133333,31472.980000000003
12.166667,31474.050000000003
12.200000,31485.820000000003
12.233333,31487.960000000003
12.266667,31487.960000000003
12.300000,31487.960000000003
12.333333,31494.38
12.366667,31495.45
12.400000,31496.52
12.433333,31496.52
12.466667,31515.780000000002
12.500000,31517.920000000002
12.533333,31517.920000000002
12.566667,31517.920000000002
12.600000,31518.99
12.633333,31518.99
12.666667,31518.99
12.700000,31521.13
12.733333,31521.13
12.766667,31540.390000000003
12.800000,31540.390000000003
12.833333,31540.390000000003
12.866667,31540.390000000003
12.900000,31540.390000000003
12.933333,31542.530000000002
12.966667,31547.88
13.000000,31547.88
13.033333,31547.88
13.066667,31547.88
13.100000,31547.88
13.133333,31556.440000000002
13.166667,31556.440000000002
13.200000,31556.440000000002
13.233333,31556.440000000002
13.266667,31556.440000000002
13.300000,31561.79
13.333333,31570.350000000002
13.366667,31572.49
13.400000,31604.59
13.433333,31608.870000000003
13.466667,31614.22
13.500000,31615.29
13.533333,31615.29
13.566667,31644.18
13.600000,31653.81
13.633333,31659.160000000003
13.666667,31669.86
13.700000,31677.350000000002
13.733333,31677.350000000002
13.766667,31679.49
13.800000,31679.49
13.833333,31680.56
13.866667,31680.56
13.900000,31680.56
13.933333,31680.56
13.966667,31680.56
14.000000,31680.56
14.033333,31680.56
14.066667,31680.56
14.100000,31680.56
14.133333,31682.7
14.166667,31682.7
14.200000,31682.7
14.233333,31684.84
14.266667,31685.910000000003
14.300000,31685.910000000003
14.333333,31685.910000000003
14.366667,31685.910000000003
14.400000,31685.910000000003
14.433333,31685.910000000003
14.466667,31685.910000000003
14.500000,31689.120000000003
14.533333,31689.120000000003
14.566667,31689.120000000003
14.600000,31689.120000000003
14.633333,31689.120000000003
14.666667,31693.4
14.700000,31695.54
14.733333,31695.54
14.766667,31695.54
14.800000,31696.61
14.833333,31793.980000000003
14.866667,31829.29
14.900000,31829.29
14.933333,31829.29
14.966667,31836.780000000002
15.000000,31836.780000000002
15.033333,31895.63
15.066667,31903.120000000003
15.100000,31903.120000000003
15.133333,31905.260000000002
15.166667,31911.68
15.200000,31911.68
15.233333,31920.24
15.266667,31920.24
15.300000,31920.24
15.333333,31920.24
15.366667,31921.31
15.400000,31924.52
15.433333,31930.940000000002
15.466667,31961.97
15.500000,31963.04
15.533333,31965.18
15.566667,31965.18
15.600000,31967.320000000003
15.633333,31972.670000000002
15.666667,31974.81
15.700000,31984.440000000002
15.733333,31985.510000000002
15.766667,32014.4
15.800000,32015.47
15.833333,32028.31
15.866667,32030.45
15.900000,32030.45
15.933333,32035.800000000003
15.966667,32035.800000000003
16.000000,32037.940000000002
16.033333,32037.940000000002
16.066667,32345.030000000002
16.100000,32435.980000000003
16.133333,32435.980000000003
16.166667,32548.33
16.200000,32549.4
16.233333,32551.54
16.266667,32556.890000000003
16.300000,32556.890000000003
16.333333,32562.24
16.366667,32563.31
16.400000,32566.52
16.433333,32566.52
16.466667,32571.870000000003
16.500000,32572.940000000002
16.533333,32578.29
16.566667,32578.29
16.600000,32579.36
16.633333,32579.36
16.666667,32586.850000000002
16.700000,32586.850000000002
16.733333,32586.850000000002
16.766667,32586.850000000002
16.800000,32586.850000000002
16.833333,32586.850000000002
16.866667,32587.920000000002
16.900000,32595.410000000003
16.933333,32595.410000000003
16.966667,32602.9
17.000000,32605.04
17.033333,32713.11
17.066667,32713.11
17.100000,32718.460000000003
17.133333,32718.460000000003
17.166667,32721.670000000002
17.200000,32721.670000000002
17.233333,32768.75
17.266667,32768.75
17.300000,32768.75
17.333333,32768.75
17.366667,32774.1
17.400000,32797.64
17.433333,32797.64
17.466667,32798.71
17.500000,32798.71
17.533333,32799.78
17.566667,32805.130000000005
17.600000,32805.130000000005
17.633333,32812.62
17.666667,32815.83
17.700000,32815.83
17.733333,32823.32
17.766667,32823.32
17.800000,32853.28
17.833333,32853.28
17.866667,32853.28
17.900000,32853.28
17.933333,32884.310000000005
17.966667,32891.8
18.000000,32891.8
18.033333,32891.8
18.066667,32891.8
18.100000,32891.8
18.133333,32891.8
18.166667,32930.32
18.200000,32931.39
18.233333,32931.39
18.266667,32933.53
18.300000,32933.53
18.333333,32933.53
18.366667,32933.53
18.400000,32956.0
18.433333,32956.0
18.466667,32956.0
18.500000,32956.0
18.533333,32966.700000000004
18.566667,32966.700000000004
18.600000,32996.66
18.633333,32996.66
18.666667,32998.8
18.700000,32998.8
18.733333,33010.57
18.766667,33011.64
18.800000,33011.64
18.833333,33011.64
18.866667,33013.78
18.900000,33015.920000000006
18.933333,33015.920000000006
18.966667,33021.270000000004
19.000000,33021.270000000004
19.033333,33021.270000000004
19.066667,33021.270000000004
19.100000,33024.48
19.133333,33024.48
19.166667,33024.48
19.200000,33029.83
19.233333,33029.83
19.266667,33034.11
19.300000,33034.11
19.333333,33034.11
19.366667,33034.11
19.400000,33042.670000000006
19.433333,33057.65
19.466667,33057.65
19.500000,33057.65
19.533333,33059.79
19.566667,33065.14
19.600000,33065.14
19.633333,33065.14
19.666667,33065.14
19.700000,33065.14
19.733333,33065.14
19.766667,33065.14
19.800000,33065.14
19.833333,33065.14
19.866667,33070.490000000005
19.900000,33070.490000000005
19.933333,33074.770000000004
19.966667,33074.770000000004
20.000000,33074.770000000004
20.033333,33085.47
20.066667,33098.310000000005
20.100000,33115.43
20.133333,33115.43
20.166667,33115.43
20.200000,33117.57
20.233333,33117.57
20.266667,33117.57
20.300000,33190.33
20.333333,33196.75
20.366667,33196.75
20.400000,33196.75
20.433333,33204.240000000005
20.466667,33204.240000000005
20.500000,33204.240000000005
20.533333,33204.240000000005
20.566667,33221.36
20.600000,33221.36
20.633333,33221.36
20.666667,33221.36
20.700000,33223.5
20.733333,33238.48
20.766667,33238.48
20.800000,33238.48
20.833333,33242.76
20.866667,33242.76
20.900000,33242.76
20.933333,33242.76
20.966667,33242.76
21.000000,33242.76
21.033333,33242.76
21.066667,33242.76
21.100000,33242.76
21.133333,33242.76
21.166667,33242.76
21.200000,33242.76
21.233333,33242.76
21.266667,33242.76
21.300000,33242.76
21.333333,33244.9
21.366667,33280.21
21.400000,33280.21
21.433333,33280.21
21.466667,33281.28
21.500000,33283.420000000006
21.533333,33283.420000000006
21.566667,33285.560000000005
21.600000,33285.560000000005
21.633333,33285.560000000005
21.666667,33285.560000000005
21.700000,33287.700000000004
21.733333,33287.700000000004
21.766667,33287.700000000004
21.800000,33299.47
21.833333,33306.96
21.866667,33309.1
21.900000,33310.170000000006
21.933333,33310.170000000006
21.966667,33310.170000000006
22.000000,33310.170000000006
22.033333,33310.170000000006
22.066667,33311.240000000005
22.100000,33311.240000000005
22.133333,33311.240000000005
22.166667,33311.240000000005
22.200000,33312.310000000005
22.233333,33346.55
22.266667,33348.69
22.300000,33350.83
22.333333,33350.83
22.366667,33355.11
22.400000,33356.18
22.433333,33359.39
22.466667,33359.39
22.500000,33361.53
22.533333,33361.53
22.566667,33388.28
22.600000,33388.28
22.633333,33388.28
22.666667,33394.700000000004
22.700000,33394.700000000004
22.733333,33395.770000000004
22.766667,33395.770000000004
22.800000,33396.840000000004
22.833333,33396.840000000004
22.866667,33396.840000000004
22.900000,33396.840000000004
22.933333,33398.98
22.966667,33411.82
23.000000,33421.450000000004
23.033333,33424.66
23.066667,33441.78
23.100000,33441.78
23.133333,33441.78
23.166667,33478.16
23.200000,33478.16
23.233333,33478.16
23.266667,33478.16
23.300000,33492.07
23.333333,33492.07
23.366667,33492.07
23.400000,33492.07
23.433333,33494.21
23.466667,33562.69
23.500000,33562.69
23.533333,33565.9
23.566667,33565.9
23.600000,33565.9
23.633333,33565.9
23.666667,33565.9
23.700000,33565.9
23.733333,33585.16
23.766667,33585.16
23.800000,33585.16
23.833333,33585.16
23.866667,33585.16
23.900000,33589.44
23.933333,33600.14
23.966667,33604.420000000006
24.000000,33623.68
