time,average_coverage
0.000000,2654.89
0.033333,5619.21
0.066667,6976.24
0.100000,8827.0
0.133333,9952.199999999999
0.166667,10870.789999999999
0.200000,11573.07
0.233333,12333.55
0.266667,13605.22
0.300000,13926.289999999999
0.333333,14472.4
0.366667,15483.14
0.400000,15845.92
0.433333,16208.699999999999
0.466667,16435.68
0.500000,16702.43
0.533333,16886.73
0.566667,17040.96
0.600000,17283.46
0.633333,17547.3
0.666667,17772.34
0.700000,17820.84
0.733333,18042.97
0.766667,18163.25
0.800000,18514.39
0.833333,18661.829999999998
0.866667,18759.8
0.900000,18867.47
0.933333,18926.64
0.966667,19142.95
1.000000,19218.61
1.033333,19390.3
1.066667,19446.559999999998
1.100000,19502.82
1.133333,19689.059999999998
1.166667,19716.22
1.200000,19758.899999999998
1.233333,19780.239999999998
1.266667,20023.71
1.300000,20113.92
1.333333,20204.13
1.366667,20302.1
1.400000,20482.52
1.433333,20564.97
1.466667,20621.23
1.500000,20710.47
1.533333,20754.12
1.566667,21017.96
1.600000,21236.21
1.633333,21478.71
1.666667,21487.44
1.700000,21522.36
1.733333,21532.059999999998
1.766667,21555.34
1.800000,21598.02
1.833333,21598.02
1.866667,21665.92
1.900000,21706.66
1.933333,21872.53
1.966667,21906.48
2.000000,21984.079999999998
2.033333,22141.22
2.066667,22254.71
2.100000,22328.43
2.133333,22337.16
2.166667,22353.649999999998
2.200000,22417.67
2.233333,22661.14
2.266667,22677.63
2.300000,22730.01
2.333333,22745.53
2.366667,22773.66
2.400000,22791.12
2.433333,22791.12
2.466667,22827.01
2.500000,22854.17
2.533333,22860.96
2.566667,22949.23
2.600000,22956.989999999998
2.633333,22997.73
2.666667,23106.37
2.700000,23134.5
2.733333,23255.75
2.766667,23297.46
2.800000,23320.739999999998
2.833333,23333.35
2.866667,23333.35
2.900000,23353.72
2.933333,23361.48
2.966667,23383.79
3.000000,23394.46
3.033333,23407.07
3.066667,23435.2
3.100000,23489.52
3.133333,23548.69
3.166667,23590.399999999998
3.200000,23592.34
3.233333,23597.19
3.266667,23603.01
3.300000,23662.18
3.333333,23697.1
3.366667,23705.829999999998
3.400000,23711.649999999998
3.433333,23746.57
3.466667,23746.57
3.500000,23749.48
3.533333,23754.329999999998
3.566667,23761.12
3.600000,23764.03
3.633333,23804.77
3.666667,23822.23
3.700000,23823.2
3.733333,23829.02
3.766667,23833.87
3.800000,23833.87
3.833333,23833.87
3.866667,24056.969999999998
3.900000,24087.04
3.933333,24109.35
3.966667,24109.35
4.000000,24116.14
4.033333,24119.05
4.066667,24119.05
4.100000,24131.66
4.133333,24190.829999999998
4.166667,24192.77
4.200000,24192.77
4.233333,24200.53
4.266667,24201.5
4.300000,24201.5
4.333333,24201.5
4.366667,24203.44
4.400000,24249.03
4.433333,24254.85
4.466667,24254.85
4.500000,24254.85
4.533333,24254.85
4.566667,24254.85
4.600000,24255.82
4.633333,24285.89
4.666667,24322.75
4.700000,24329.54
4.733333,24329.54
4.766667,24329.54
4.800000,24382.89
4.833333,24390.649999999998
4.866667,24406.17
4.900000,24410.05
4.933333,24410.05
4.966667,24412.96
5.000000,24573.01
5.033333,24573.01
5.066667,24573.01
5.100000,24593.38
5.133333,24599.2
5.166667,24622.48
5.200000,24622.48
5.233333,24622.48
5.266667,24630.239999999998
5.300000,24650.61
5.333333,24650.61
5.366667,24650.61
5.400000,24665.16
5.433333,24667.1
5.466667,24667.1
5.500000,24667.1
5.533333,24674.86
5.566667,24690.38
5.600000,24690.38
5.633333,24690.38
5.666667,24698.14
5.700000,24698.14
5.733333,24698.14
5.766667,24698.14
5.800000,24699.11
5.833333,24702.02
5.866667,24702.02
5.900000,24702.02
5.933333,24724.329999999998
5.966667,24724.329999999998
6.000000,24724.329999999998
6.033333,24726.27
6.066667,24729.18
6.100000,24729.18
6.133333,24729.18
6.166667,24729.18
6.200000,24735.0
6.233333,24735.0
6.266667,24735.0
6.300000,24749.55
6.333333,24752.46
6.366667,24755.37
6.400000,24893.11
6.433333,24893.11
6.466667,24893.11
6.500000,24899.899999999998
6.533333,24930.94
6.566667,24930.94
6.600000,24930.94
6.633333,24930.94
6.666667,24930.94
6.700000,24930.94
6.733333,24981.38
6.766667,24981.38
6.800000,24986.23
6.833333,25029.88
6.866667,25079.35
6.900000,25082.26
6.933333,25082.26
6.966667,25082.26
7.000000,25082.26
7.033333,25114.27
7.066667,25118.149999999998
7.100000,25158.89
7.133333,25195.75
7.166667,25195.75
7.200000,25203.51
7.233333,25205.45
7.266667,25205.45
7.300000,25207.39
7.333333,25213.21
7.366667,25220.969999999998
7.400000,25226.79
7.433333,25263.649999999998
7.466667,25263.649999999998
7.500000,25267.53
7.533333,25273.35
7.566667,25273.35
7.600000,25273.35
7.633333,25281.11
7.666667,25283.05
7.700000,25286.93
7.733333,25286.93
7.766667,25286.93
7.800000,25286.93
7.833333,25286.93
7.866667,25286.93
7.900000,25286.93
7.933333,25289.84
7.966667,25289.84
8.000000,25289.84
8.033333,25292.75
8.066667,25292.75
8.100000,25294.69
8.133333,25295.66
8.166667,25295.66
8.200000,25295.66
8.233333,25295.66
8.266667,25308.27
8.300000,25312.149999999998
8.333333,25312.149999999998
8.366667,25312.149999999998
8.400000,25343.19
8.433333,25349.01
8.466667,25349.01
8.500000,25349.98
8.533333,25351.92
8.566667,25351.92
